ID,study,study_label,type_long,event.e,n.e,mean.e,lower.e,upper.e,sd.e,se.e,event.c,n.c,mean.c,lower.c,upper.c,sd.c,se.c,ROB,outcome,AB,TE,lower,upper,est.type,Notes,type,outcome_asis,domain,study_design,rob,forest_plot_id,forest_plot_title,follow_up,rr_estimate,rr_lower,rr_upper,n_vax_outcome,n_vax_no_outcome,n_unvax_outcome,n_unvax_no_outcome,tau_sq,i_sq,p
,,Pooled,,,,,,,,,,,,,,,,,,,,,,,,,Pertussis Infection: Infants,Effectiveness,Observational,,1,Pertussis Infection: Infants (Effectiveness) - Observational,,0.812755167,0.465396438,1.419372619,,,,,0.074026182,0.553158968,0.0623
,,Pooled,,,,,,,,,,,,,,,,,,,,,,,,,Congenital Abnormalities,Safety - infant,Observational,,2,Congenital Abnormalities (Safety - infant) - Observational,,0.455565637,0.000164454,1261.991892,,,,,0.489146749,0.626016605,0.102
,,Pooled,,,,,,,,,,,,,,,,,,,,,,,,,Congenital Abnormalities,Safety - infant,RCT,,3,Congenital Abnormalities (Safety - infant) - RCT,,0.988403853,0.050887503,19.19807647,,,,,0.577113409,0.267324979,0.255
,,Pooled,,,,,,,,,,,,,,,,,,,,,,,,,Low Birth Weight,Safety - infant,Observational,,4,Low Birth Weight (Safety - infant) - Observational,,1.208748103,0.986795459,1.480622922,,,,,0,0,0.8
,,Pooled,,,,,,,,,,,,,,,,,,,,,,,,,Neonatal Death,Safety - infant,Observational,,5,Neonatal Death (Safety - infant) - Observational,,0.557286849,0.155789102,1.99351962,,,,,0,0,0.459
,,Pooled,,,,,,,,,,,,,,,,,,,,,,,,,Neonatal Death,Safety - infant,RCT,,6,Neonatal Death (Safety - infant) - RCT,,0.785714286,0.134606882,4.58629551,,,,,,,
,,Pooled,,,,,,,,,,,,,,,,,,,,,,,,,Small for Gestational Age (growth restriction),Safety - infant,Observational,,7,Small for Gestational Age (growth restriction) (Safety - infant) - Observational,,0.934466408,0.486197947,1.796032818,,,,,0.037046611,0.584064117,0.0903
,,Pooled,,,,,,,,,,,,,,,,,,,,,,,,,Fever,Safety - maternal,Observational,,8,Fever (Safety - maternal) - Observational,,2.013553256,0.554135679,7.316613732,,,,,0.257951487,0.637034429,0.0408
,,Pooled,,,,,,,,,,,,,,,,,,,,,,,,,Fever,Safety - maternal,RCT,,9,Fever (Safety - maternal) - RCT,,1.514943323,0.695084677,3.301832633,,,,,0,0,0.921
,,Pooled,,,,,,,,,,,,,,,,,,,,,,,,,Gestational Diabetes,Safety - maternal,Observational,,10,Gestational Diabetes (Safety - maternal) - Observational,,1.05005084,1.017112476,1.084055887,,,,,0.194396635,0.729675563,0.0544
