"id_meta","domain","analysis_label","study","is_meta","is_rct","study_design","outcome","population","rr","rr_lower","rr_upper","tau_sq","p","i_sq","effect_measure","rr_order","rr_lower_order","rr_upper_order","rob","rob_original","ab","ab_abbrev","ab_footnote","n_events_vax","n_vax","mean_vax","lower_vax","upper_vax","sd_vax","se_vax","n_events_unvax","n_unvax","mean_unvax","lower_unvax","upper_unvax","sd_unvax","se_unvax","te","lower","upper","notes"
1,"Effectiveness","Pertussis infection (infant) - Observational studies (unadjusted)","Chong 2022",0,0,"Observational (unadjusted)","Pertussis infection (infant)","Infant",0.081081081,0.005450862,1.20607382,,,,,1,1,3,"Critical","Critical",,,,0,8,,,,,,18,25,,,,,,,,,
1,"Effectiveness","Pertussis infection (infant) - Observational studies (unadjusted)","Hincapie Palacio 2018",0,0,"Observational (unadjusted)","Pertussis infection (infant)","Infant",1.747149564,0.084149977,36.27489534,,,,,5,2,5,"Critical","Critical",,,,2,745,,,,,,0,260,,,,,,,,,
1,"Effectiveness","Pertussis infection (infant) - Observational studies (unadjusted)","Khodr 2017",0,0,"Observational (unadjusted)","Pertussis infection (infant)","Infant",1.168953645,0.153737564,8.888215657,,,,,4,3,4,"Critical","Critical",,,,1,5726,,,,,,14,93708,,,,,,,,,
1,"Effectiveness","Pertussis infection (infant) - Observational studies (unadjusted)","Skoff 2024",0,0,"Observational (unadjusted)","Pertussis infection (infant)","Infant",0.656016097,0.468218925,0.919136531,,,,,2,4,1,"Critical","Critical",,,,33,175,,,,,,142,494,,,,,,,,,"Removed a: Vaccination before pregnancy; kept b: Vaccination during pregnancy"
1,"Effectiveness","Pertussis infection (infant) - Observational studies (unadjusted)","Winter 2017",0,0,"Observational (unadjusted)","Pertussis infection (infant)","Infant",0.987987988,0.934783185,1.044221035,,,,,3,5,2,"Critical","Critical",,,,36,37,,,,,,324,329,,,,,,,,,
2,"Safety - infant","Congenital abnormalities - Observational studies (unadjusted)","Kerr 2020",0,0,"Observational (unadjusted)","Congenital abnormalities","Infant",,,,,,,,3,3,3,"Critical","Critical",,,,332,909,,,,,,12432,4822,,,,,,,,,
2,"Safety - infant","Congenital abnormalities - Observational studies (unadjusted)","Sancovski 2019",0,0,"Observational (unadjusted)","Congenital abnormalities","Infant",0.253473068,0.096309411,0.667106108,,,,,1,1,1,"Critical","Critical",,,,5,1119,,,,,,22,1248,,,,,,,,,
2,"Safety - infant","Congenital abnormalities - Observational studies (unadjusted)","Maertens 2016",0,0,"Observational (unadjusted)","Congenital abnormalities","Infant",,,,,,,,4,4,4,"Critical","Critical",,,,0,57,,,,,,0,42,,,,,,,,,
2,"Safety - infant","Congenital abnormalities - Observational studies (unadjusted)","Morgan 2015",0,0,"Observational (unadjusted)","Congenital abnormalities","Infant",0.884787472,0.281842816,2.777608036,,,,,2,2,2,"Critical","Critical",,,,84,7152,,,,,,3,226,,,,,,,,,
3,"Safety - infant","Congenital abnormalities - RCTs","Haidara 2024",0,1,"RCT","Congenital abnormalities","Infant",4.731225296,0.258595685,86.56174137,,,,,3,2,3,"Low","Low",,,,4,126,,,,,,0,66,,,,,,,,,
3,"Safety - infant","Congenital abnormalities - RCTs","Perrett 2022",0,1,"RCT","Congenital abnormalities","Infant",1.141495601,0.445644932,2.923879786,,,,,2,3,2,"Low","Low",,,,9,341,,,,,,8,346,,,,,,,,,
